plot,tree,DBH,Height,CBH,life,CW_E,CW_S,CW_W,CW_N,x,y,SD,CLR,CW,CW_EW,CW_SN,Age Group
37,бДр╤ки,8.9,6.3,0.7,а╪,1.69,0.95,2.17,1.69,5.6,3.7,1644.444444,0.89,3.25,3.86,2.64,жпаДаж
41,бДр╤ки,8.9,6.8,0.2,а╪,1.55,0.88,1.71,1.79,4,1.4,1522.222222,0.97,2.965,3.26,2.67,жпаДаж
45,бДр╤ки,8.9,6.2,2,а╪,1.53,1.67,0.44,0.38,8.9,0.2,1466.666667,0.68,2.01,1.97,2.05,жпаДаж
1,бДр╤ки,9,8.8,3.9,╩Н,1.2,1.1,1.16,0.51,2.49,2,2344.444444,0.56,1.985,2.36,1.61,жпаДаж
4,бДр╤ки,9,10.3,4.2,а╪,1.06,1.49,0.66,1.84,5.5,7.1,2155.555556,0.59,2.525,1.72,3.33,жпаДаж
5,бДр╤ки,9,6.5,0.4,а╪,1.852,1.83,1.396,1.532,3.4,4.2,1377.777778,0.94,3.305,3.248,3.362,жпаДаж
5,бДр╤ки,9,6,0.3,а╪,1.099,1.404,0.918,0.717,0.6,9.1,1377.777778,0.95,2.069,2.017,2.121,жпаДаж
6,бДр╤ки,9,5.6,0.3,а╪,1.6,2.054,1.89,1.15,5.7,7.76,1044.444444,0.95,3.347,3.49,3.204,жпаДаж
8,бДр╤ки,9,5,0.3,а╪,1.81,1.2,1.99,1.45,9,4.4,1344.444444,0.94,3.225,3.8,2.65,жпаДаж
8,бДр╤ки,9,5.4,0.5,а╪,2.163,1.748,1.305,1.599,7.9,3.7,1344.444444,0.91,3.4075,3.468,3.347,жпаДаж
10,бДр╤ки,9,6.3,0.5,а╪,1.68,1.56,1.68,1.69,1,2.5,911.1111111,0.92,3.305,3.36,3.25,жпаДаж
13,бДр╤ки,9,5.7,0.3,а╪,1,1.6,1.6,1,9,9,1144.444444,0.95,2.6,2.6,2.6,жпаДаж
20,бДр╤ки,9,5.8,0.4,а╪,1.844,1.615,1.161,1.529,3.9,0.5,822.2222222,0.93,3.0745,3.005,3.144,жпаДаж
25,бДр╤ки,9,6.2,3.9,а╪,0.974,0.451,1.159,1.429,5.5,1.6,1700,0.37,2.0065,2.133,1.88,жпаДаж
35,бДр╤ки,9,5.1,0.5,а╪,1.78,1.32,1.7,1.58,1.9,9.2,1733.333333,0.9,3.19,3.48,2.9,жпаДаж
35,бДр╤ки,9,6.2,0.4,а╪,1.98,2.55,2.05,2.22,7.3,5.4,1733.333333,0.94,4.4,4.03,4.77,жпаДаж
41,бДр╤ки,9,5.3,0.8,а╪,1.78,1.95,1.34,1.39,9.1,4.4,1522.222222,0.85,3.23,3.12,3.34,жпаДаж
41,бДр╤ки,9,6.5,0.5,а╪,1.43,1.21,1.63,1.68,5.9,6.6,1522.222222,0.92,2.975,3.06,2.89,жпаДаж
44,бДр╤ки,9,9.2,6.3,а╪,1.82,1.38,2.07,2.22,8.5,5.8,1977.777778,0.32,3.745,3.89,3.6,жпаДаж
46,бДр╤ки,9,10.7,6,а╪,1.64,1.67,1.21,0.96,3.8,5,1655.555556,0.44,2.74,2.85,2.63,жпаДаж
88,бДр╤ки,9,15.5,7.7,а╪,0.8,1.2,1.3,1.1,0,0,1122.222222,0.5,2.2,2.1,2.3,жпаДаж
5,бДр╤ки,9.1,5.4,0.2,а╪,1.705,1.761,1.023,1.546,7.1,2.2,1377.777778,0.96,3.0175,2.728,3.307,жпаДаж
6,бДр╤ки,9.1,6.5,0.3,а╪,1.85,2.45,2.77,1.71,7.2,2.7,1044.444444,0.95,4.39,4.62,4.16,жпаДаж
7,бДр╤ки,9.1,6,0.4,а╪,1.47,1.98,2.11,1.93,1.1,9.7,766.6666667,0.93,3.745,3.58,3.91,жпаДаж
10,бДр╤ки,9.1,3.2,0.4,а╪,2.16,2.05,1.98,1.86,6.6,8.2,911.1111111,0.88,4.025,4.14,3.91,жпаДаж
11,бДр╤ки,9.1,5.8,0.8,а╪,1.078,2.11,1.61,1.008,2.9,1.2,722.2222222,0.86,2.903,2.688,3.118,жпаДаж
15,бДр╤ки,9.1,10.1,4.8,а╪,0.962,1.181,1.89,1.78,4,6.8,788.8888889,0.52,2.9065,2.852,2.961,жпаДаж
20,бДр╤ки,9.1,4.8,0.5,а╪,1.019,1.235,1.573,0.572,6.7,1.7,822.2222222,0.9,2.1995,2.592,1.807,жпаДаж
30,бДр╤ки,9.1,16.6,3.4,а╪,1.3,1.3,1.1,0.9,9,5.5,1444.444444,0.8,2.3,2.4,2.2,жпаДаж
36,бДр╤ки,9.1,7.1,2.8,а╪,1.23,1.56,1.46,1.2,3.4,1,1088.888889,0.61,2.725,2.69,2.76,жпаДаж
36,бДр╤ки,9.1,8.5,6.1,а╪,1.06,0.93,1.26,1.24,0.7,9.9,1088.888889,0.28,2.245,2.32,2.17,жпаДаж
42,бДр╤ки,9.1,9,5,а╪,2.1,1.18,1.55,1.9,3.3,3.8,2288.888889,0.44,3.365,3.65,3.08,жпаДаж
1,бДр╤ки,9.2,9.6,3.482,╩Н,2,2,0.7,1.5,4.041,1.04,2344.444444,0.64,3.1,2.7,3.5,жпаДаж
4,бДр╤ки,9.2,10.3,5.6,а╪,1,1.38,1.79,1.75,8,1.5,2155.555556,0.46,2.96,2.79,3.13,жпаДаж
4,бДр╤ки,9.2,9.7,2.2,а╪,1.96,1.9,1.4,1.57,6.7,2.3,2155.555556,0.77,3.415,3.36,3.47,жпаДаж
4,бДр╤ки,9.2,7.5,3.4,а╪,1.95,3.43,2.68,1.08,0.5,2.4,2155.555556,0.55,4.57,4.63,4.51,жпаДаж
4,бДр╤ки,9.2,9.3,4.3,а╪,1.23,0.74,1,1.23,0.1,4.3,2155.555556,0.54,2.1,2.23,1.97,жпаДаж
7,бДр╤ки,9.2,5.2,0.3,а╪,2.27,1.69,1.92,1.79,1.9,9,766.6666667,0.94,3.835,4.19,3.48,жпаДаж
7,бДр╤ки,9.2,5.4,0.4,а╪,1.82,1.9,1.8,2,4,7.3,766.6666667,0.93,3.76,3.62,3.9,жпаДаж
7,бДр╤ки,9.2,6,0.2,а╪,1.85,1.63,1.78,2.13,0.5,2.3,766.6666667,0.97,3.695,3.63,3.76,жпаДаж
10,бДр╤ки,9.2,5.5,0.4,а╪,2.38,2.16,1.7,2.41,4.3,4.1,911.1111111,0.93,4.325,4.08,4.57,жпаДаж
14,бДр╤ки,9.2,7.9,2.2,а╪,1.26,1.13,1.27,1.19,9.3,8.2,1022.222222,0.72,2.425,2.53,2.32,жпаДаж
27,бДр╤ки,9.2,6,2.6,а╪,1.462,1.223,1.525,1.995,4.8,1.7,1077.777778,0.57,3.1025,2.987,3.218,жпаДаж
34,бДр╤ки,9.2,5.5,1.6,а╪,1.78,1.89,1.21,2.13,3.2,9.2,977.7777778,0.71,3.505,2.99,4.02,жпаДаж
35,бДр╤ки,9.2,6.4,0.3,а╪,1.92,1.71,2.05,1.89,9,7.4,1733.333333,0.95,3.785,3.97,3.6,жпаДаж
36,бДр╤ки,9.2,11.6,7.2,а╪,1.07,0.94,1.21,1.32,1,2.8,1088.888889,0.38,2.27,2.28,2.26,жпаДаж
41,бДр╤ки,9.2,7.4,0.4,а╪,1.75,1.8,1.88,1.78,2.6,6.1,1522.222222,0.95,3.605,3.63,3.58,жпаДаж
41,бДр╤ки,9.2,5.9,0.9,а╪,0.65,1.56,1.57,1.92,4.7,3.1,1522.222222,0.85,2.85,2.22,3.48,жпаДаж
42,бДр╤ки,9.2,10.2,4.6,а╪,0.9,1.3,1.53,1.05,8.3,2,2288.888889,0.55,2.39,2.43,2.35,жпаДаж
44,бДр╤ки,9.2,7.7,5.4,а╪,1.47,1.79,1.83,1.12,4.6,5.4,1977.777778,0.3,3.105,3.3,2.91,жпаДаж
44,бДр╤ки,9.2,12.1,5.4,а╪,1.19,1.1,1.54,1.77,7.8,6.1,1977.777778,0.55,2.8,2.73,2.87,жпаДаж
45,бДр╤ки,9.2,8.1,1.9,а╪,1.15,1.36,1.05,1.53,8.8,3.2,1466.666667,0.77,2.545,2.2,2.89,жпаДаж
57,бДр╤ки,9.2,3.3,1.8,а╪,1.51,1.12,1.11,1.55,0,0,1133.333333,0.45,2.645,2.62,2.67,жпаДаж
59,бДр╤ки,9.2,11.1,9.5,а╪,1.2,1,1,2.5,0,0,2155.555556,0.14,2.85,2.2,3.5,жпаДаж
59,бДр╤ки,9.2,11.9,10,а╪,3.8,1,1.3,2,0,0,2155.555556,0.16,4.05,5.1,3,жпаДаж
74,бДр╤ки,9.2,11.5,6.4,а╪,1.1,1,1.4,1.4,0,0,1566.666667,0.44,2.45,2.5,2.4,жпаДаж
86,бДр╤ки,9.2,10.9,7,а╪,0.8,1.1,1.2,0.9,0,0,1155.555556,0.36,2,2,2,жпаДаж
86,бДр╤ки,9.2,3.9,1.3,а╪,1.2,2.2,1.8,1.6,0,0,1155.555556,0.67,3.4,3,3.8,жпаДаж
1,бДр╤ки,9.3,9.8,3.3,╩Н,1.8,1,0.9,1.6,6.834,0.665,2344.444444,0.66,2.65,2.7,2.6,жпаДаж
5,бДр╤ки,9.3,5.6,0.4,а╪,1.66,1.727,1.378,1.621,2.9,8.2,1377.777778,0.93,3.193,3.038,3.348,жпаДаж
6,бДр╤ки,9.3,6.6,0.4,а╪,1.99,1.8,1.73,1.71,1.6,2.7,1044.444444,0.94,3.615,3.72,3.51,жпаДаж
6,бДр╤ки,9.3,5.1,0.6,а╪,2.07,2.25,1.73,1.94,5.8,1.67,1044.444444,0.88,3.995,3.8,4.19,жпаДаж
10,бДр╤ки,9.3,5.6,0.4,а╪,1.65,1.74,1.08,1.67,0.6,1.2,911.1111111,0.93,3.07,2.73,3.41,жпаДаж
10,бДр╤ки,9.3,5.7,0.4,а╪,2.11,1.97,2.11,1.81,4.2,9.8,911.1111111,0.93,4,4.22,3.78,жпаДаж
11,бДр╤ки,9.3,5.9,0.6,а╪,1.002,1.73,1.87,0.976,9.9,8,722.2222222,0.9,2.789,2.872,2.706,жпаДаж
20,бДр╤ки,9.3,8.2,0.4,а╪,1.526,1.222,1.185,0.88,0.3,8.7,822.2222222,0.95,2.4065,2.711,2.102,жпаДаж
34,бДр╤ки,9.3,10.7,5.9,а╪,1.4,1.58,2.78,1.47,2.9,1.4,977.7777778,0.45,3.615,4.18,3.05,жпаДаж
41,бДр╤ки,9.3,6.7,0.7,а╪,2.01,1.75,1.71,1.74,2.4,8.6,1522.222222,0.9,3.605,3.72,3.49,жпаДаж
42,бДр╤ки,9.3,6.4,0.9,а╪,1.61,1.08,1.29,1.68,8,1,2288.888889,0.86,2.83,2.9,2.76,жпаДаж
1,бДр╤ки,9.4,9,2.6,╩Н,2.2,1.9,1.4,1.4,5.174,1.203,2344.444444,0.71,3.45,3.6,3.3,жпаДаж
1,бДр╤ки,9.4,8,2.3,╩Н,2.2,2.6,2.2,1.8,8.662,4.082,2344.444444,0.71,4.4,4.4,4.4,жпаДаж
4,бДр╤ки,9.4,10,6.5,а╪,0.95,1.24,1.98,1.56,4.2,1,2155.555556,0.35,2.865,2.93,2.8,жпаДаж
5,бДр╤ки,9.4,6,0.5,а╪,1.2,1.9,0.7,1.1,0.3,3.2,1377.777778,0.92,2.45,1.9,3,жпаДаж
6,бДр╤ки,9.4,6.5,0.5,а╪,1.35,2.205,1.86,1.55,0.5,7.76,1044.444444,0.92,3.4825,3.21,3.755,жпаДаж
12,бДр╤ки,9.4,4.8,0.4,╤ом╥,1.92,1.89,1.903,1.563,3.5,0.9,555.5555556,0.92,3.638,3.823,3.453,жпаДаж
27,бДр╤ки,9.4,5.4,0.8,а╪,1.792,2.229,1.541,2.155,4,7.8,1077.777778,0.85,3.8585,3.333,4.384,жпаДаж
32,бДр╤ки,9.4,11.3,7.7,а╪,1.55,1.9,1.5,1.24,9,1.3,1511.111111,0.32,3.095,3.05,3.14,жпаДаж
34,бДр╤ки,9.4,8.2,1.9,а╪,1.38,1.3,1.29,2.13,6,1.2,977.7777778,0.77,3.05,2.67,3.43,жпаДаж
35,бДр╤ки,9.4,7.1,0.4,а╪,2.14,1.24,1.83,1.91,8.8,2.1,1733.333333,0.94,3.56,3.97,3.15,жпаДаж
40,бДр╤ки,9.4,8,0.6,а╪,2.59,2.67,2.22,2.2,8,4.1,511.1111111,0.92,4.84,4.81,4.87,жпаДаж
42,бДр╤ки,9.4,9.9,5.7,а╪,1.24,1.79,1.13,1.02,4.8,7.8,2288.888889,0.42,2.59,2.37,2.81,жпаДаж
42,бДр╤ки,9.4,8,5.1,а╪,1.49,0.92,1.89,1.44,5.2,7.1,2288.888889,0.36,2.87,3.38,2.36,жпаДаж
42,бДр╤ки,9.4,11.2,6.4,а╪,1.31,1.59,1.62,1.49,8,7,2288.888889,0.43,3.005,2.93,3.08,жпаДаж
42,бДр╤ки,9.4,13.2,4.7,а╪,0.99,0.89,1.3,0.99,3.6,1.2,2288.888889,0.64,2.085,2.29,1.88,жпаДаж
44,бДр╤ки,9.4,6.4,5.1,а╪,1.62,1.75,2.13,0.86,8,5.8,1977.777778,0.2,3.18,3.75,2.61,жпаДаж
44,бДр╤ки,9.4,8,5.8,а╪,1.5,1.7,1.7,2,8.2,3.4,1977.777778,0.28,3.45,3.2,3.7,жпаДаж
74,бДр╤ки,9.4,9.3,6,а╪,1.7,1.5,1.3,1.5,0,0,1566.666667,0.35,3,3,3,жпаДаж
85,бДр╤ки,9.4,7.9,4.6,0,0.2,0.1,0.5,1.4,0,0,1422.222222,0.42,1.1,0.7,1.5,жпаДаж
1,бДр╤ки,9.5,6.3,2.1,а╪,1.8,1.4,1.4,1.6,9.1,5.4,2344.444444,0.67,3.1,3.2,3,жпаДаж
4,бДр╤ки,9.5,4,3.8,╤оир,1.91,0.99,0.87,1.37,4.9,1.5,2155.555556,0.05,2.57,2.78,2.36,жпаДаж
4,бДр╤ки,9.5,9.4,3.7,а╪,1.456,0.1,1.81,4.02,3.4,0.5,2155.555556,0.61,3.693,3.266,4.12,жпаДаж
5,бДр╤ки,9.5,5,1,а╪,2.067,0.439,0.9,1.196,0.6,8.6,1377.777778,0.8,2.301,2.967,1.635,жпаДаж
6,бДр╤ки,9.5,6,0.6,а╪,2.05,1.94,1.71,1.59,8.3,2.5,1044.444444,0.9,3.645,3.76,3.53,жпаДаж
7,бДр╤ки,9.5,4.9,0.3,а╪,1.68,2.44,1.44,2.03,2.3,8,766.6666667,0.94,3.795,3.12,4.47,жпаДаж
7,бДр╤ки,9.5,7.5,0.3,а╪,1.93,1.73,1.75,2.12,4.4,2.5,766.6666667,0.96,3.765,3.68,3.85,жпаДаж
7,бДр╤ки,9.5,5.6,0.2,а╪,1.72,1.78,2.1,1.36,3,1.5,766.6666667,0.96,3.48,3.82,3.14,жпаДаж
7,бДр╤ки,9.5,5,0.2,а╪,2.39,2.23,2.24,2.05,4.2,3.2,766.6666667,0.96,4.455,4.63,4.28,жпаДаж
7,бДр╤ки,9.5,6.11,0.3,а╪,1.84,1.73,1.78,2.43,4.2,0.5,766.6666667,0.95,3.89,3.62,4.16,жпаДаж
7,бДр╤ки,9.5,5.6,0.3,а╪,1.47,1.78,1.65,1.79,3.3,1.4,766.6666667,0.95,3.345,3.12,3.57,жпаДаж
8,бДр╤ки,9.5,4.8,0.8,а╪,1.664,1.512,0.948,1.959,9.8,6.6,1344.444444,0.83,3.0415,2.612,3.471,жпаДаж
10,бДр╤ки,9.5,5.4,0.4,а╪,1.56,2.09,1.92,1.84,9.8,5,911.1111111,0.93,3.705,3.48,3.93,жпаДаж
10,бДр╤ки,9.5,5.7,0.3,а╪,1.68,1.88,1.71,1.5,2.4,8,911.1111111,0.95,3.385,3.39,3.38,жпаДаж
30,бДр╤ки,9.5,10.7,6.2,а╪,1.1,1.6,1.4,1.3,4.4,4.7,1444.444444,0.42,2.7,2.5,2.9,жпаДаж
35,бДр╤ки,9.5,6.8,0.7,а╪,1.91,1.45,0.53,1.75,2.1,2.1,1733.333333,0.9,2.82,2.44,3.2,жпаДаж
35,бДр╤ки,9.5,6.2,0.6,а╪,1.89,1.68,1.83,1.89,7.3,8.1,1733.333333,0.9,3.645,3.72,3.57,жпаДаж
40,бДр╤ки,9.5,6.7,0.3,а╪,1.54,1.86,1.85,1.85,5.5,1.1,511.1111111,0.96,3.55,3.39,3.71,жпаДаж
41,бДр╤ки,9.5,6.9,0.4,а╪,1.25,1.96,1.61,1.43,4.7,9.4,1522.222222,0.94,3.125,2.86,3.39,жпаДаж
41,бДр╤ки,9.5,6.8,0.9,а╪,1.79,1.54,1.65,1.88,3.2,3.6,1522.222222,0.87,3.43,3.44,3.42,жпаДаж
42,бДр╤ки,9.5,8.5,3.8,а╪,1.05,0.91,1.28,1.11,1.2,6.2,2288.888889,0.55,2.175,2.33,2.02,жпаДаж
42,бДр╤ки,9.5,12.3,8.5,а╪,1.1,1.1,1.1,1.4,7.5,7.5,2288.888889,0.31,2.35,2.2,2.5,жпаДаж
42,бДр╤ки,9.5,10.7,4.9,а╪,1.2,1.2,1.3,1.7,8.2,7,2288.888889,0.54,2.7,2.5,2.9,жпаДаж
44,бДр╤ки,9.5,9.2,5.5,а╪,1.68,1.58,0.69,0.49,5.95,1.5,1977.777778,0.4,2.22,2.37,2.07,жпаДаж
46,бДр╤ки,9.5,11.4,7.5,а╪,1.11,0.15,1.02,1.29,2,0.8,1655.555556,0.34,1.785,2.13,1.44,жпаДаж
60,бДр╤ки,9.5,9.1,2.5,а╪,1.49,1.09,1.26,1.21,0,0,977.7777778,0.73,2.525,2.75,2.3,жпаДаж
87,бДр╤ки,9.5,5.5,1.7,а╪,1.8,1.4,2.2,1.2,0,0,588.8888889,0.69,3.3,4,2.6,жпаДаж
1,бДр╤ки,9.6,7,3,а╪,2,1.3,1.8,2.3,5.5,5.2,2344.444444,0.57,3.7,3.8,3.6,жпаДаж
6,бДр╤ки,9.6,6.5,0.3,а╪,1.67,1.85,1.81,2.01,4.3,2.7,1044.444444,0.95,3.67,3.48,3.86,жпаДаж
6,бДр╤ки,9.6,5.5,0.6,а╪,1.789,1.5,1.44,1.48,5.4,4.46,1044.444444,0.89,3.1045,3.229,2.98,жпаДаж
6,бДр╤ки,9.6,6.7,0.7,а╪,1.3,1.44,1.8,1.75,8.1,7.76,1044.444444,0.9,3.145,3.1,3.19,жпаДаж
7,бДр╤ки,9.6,4.5,0.3,а╪,2.02,1.73,1.95,1.89,4.8,8,766.6666667,0.93,3.795,3.97,3.62,жпаДаж
15,бДр╤ки,9.6,12,3.5,а╪,0.588,0.802,2.57,2.15,6,4.7,788.8888889,0.71,3.055,3.158,2.952,жпаДаж
30,бДр╤ки,9.6,11.5,6.9,а╪,1.3,1.7,1.6,1.1,2.4,4.6,1444.444444,0.4,2.85,2.9,2.8,жпаДаж
34,бДр╤ки,9.6,7,1.1,а╪,1.88,2.08,0.91,1.86,8.7,3.1,977.7777778,0.84,3.365,2.79,3.94,жпаДаж
36,бДр╤ки,9.6,9.1,3.8,а╪,1.45,1.38,1.4,1.53,1.7,9.2,1088.888889,0.58,2.88,2.85,2.91,жпаДаж
44,бДр╤ки,9.6,7,5.3,а╪,1.41,0.82,1.21,1.18,7,4.3,1977.777778,0.24,2.31,2.62,2,жпаДаж
45,бДр╤ки,9.6,10.8,7.3,а╪,0.75,0.75,0.65,0.74,9.4,0.4,1466.666667,0.32,1.445,1.4,1.49,жпаДаж
59,бДр╤ки,9.6,8.6,7.2,а╪,1.5,1.6,2.2,4.2,0,0,2155.555556,0.16,4.75,3.7,5.8,жпаДаж
72,бДр╤ки,9.6,18.2,11.5,а╪,1.3,1,1.6,1.2,0,0,944.4444444,0.37,2.55,2.9,2.2,жпаДаж
74,бДр╤ки,9.6,6.7,2.1,а╪,1.7,1.8,1.7,2.4,0,0,1566.666667,0.69,3.8,3.4,4.2,жпаДаж
86,бДр╤ки,9.6,9.9,6.6,а╪,1.4,1.3,1.3,1.4,0,0,1155.555556,0.33,2.7,2.7,2.7,жпаДаж
86,бДр╤ки,9.6,10.6,4.6,а╪,1.2,1,1,1.5,0,0,1155.555556,0.57,2.35,2.2,2.5,жпаДаж
1,бДр╤ки,9.7,5.6,3.4,╩Н,0.6,2.4,1.7,1.3,4.554,6.025,2344.444444,0.39,3,2.3,3.7,жпаДаж
1,бДр╤ки,9.7,7.2,2.5,а╪,1.7,1.3,2.3,1.4,1.2,8.6,2344.444444,0.65,3.35,4,2.7,жпаДаж
4,бДр╤ки,9.7,10.3,4.7,а╪,1.855,1.21,2.43,1.74,6.2,5.4,2155.555556,0.54,3.6175,4.285,2.95,жпаДаж
5,бДр╤ки,9.7,5.9,0.6,а╪,1.366,1.703,1.068,1.259,5.3,9.4,1377.777778,0.9,2.698,2.434,2.962,жпаДаж
6,бДр╤ки,9.7,6.9,0.3,а╪,1.79,1.84,1.96,2.05,7.8,5.5,1044.444444,0.96,3.82,3.75,3.89,жпаДаж
7,бДр╤ки,9.7,5.8,0.3,а╪,1.87,1.94,1.94,2.04,2.4,5.9,766.6666667,0.95,3.895,3.81,3.98,жпаДаж
9,бДр╤ки,9.7,5,0.9,а╪,1.797,1.621,1.144,1.915,7.7,5.8,600,0.82,3.2385,2.941,3.536,жпаДаж
9,бДр╤ки,9.7,4.7,0.4,а╪,1.819,1.185,1.312,1.545,9.5,2,600,0.91,2.9305,3.131,2.73,жпаДаж
15,бДр╤ки,9.7,8.4,1,а╪,0.925,1.339,1.59,2.38,8.6,7.6,788.8888889,0.88,3.117,2.515,3.719,жпаДаж
25,бДр╤ки,9.7,9.3,0.4,а╪,1.651,1.437,0.94,1.064,6.7,3.5,1700,0.96,2.546,2.591,2.501,жпаДаж
29,бДр╤ки,9.7,11.2,3.1,а╪,1.01,0.95,1.43,1.26,5.8,5.3,1355.555556,0.72,2.325,2.44,2.21,жпаДаж
29,бДр╤ки,9.7,10.1,7.4,а╪,1.34,1.41,1.57,1.16,6.7,5.1,1355.555556,0.27,2.74,2.91,2.57,жпаДаж
30,бДр╤ки,9.7,10,6.9,а╪,0.81,0.97,1.21,1.22,1.6,8,1444.444444,0.31,2.105,2.02,2.19,жпаДаж
42,бДр╤ки,9.7,10.9,8.2,а╪,0.93,1.12,1.51,1.1,5,8.9,2288.888889,0.25,2.33,2.44,2.22,жпаДаж
45,бДр╤ки,9.7,8.5,6.1,а╪,1.01,0.93,0.76,0.91,6.6,0.1,1466.666667,0.28,1.805,1.77,1.84,жпаДаж
46,бДр╤ки,9.7,10.8,5.6,а╪,1.42,1.4,1.22,1,4.2,6,1655.555556,0.48,2.52,2.64,2.4,жпаДаж
59,бДр╤ки,9.7,7.9,5.7,а╪,0.9,1.2,1.8,0.7,0,0,2155.555556,0.28,2.3,2.7,1.9,жпаДаж
74,бДр╤ки,9.7,10.9,6.5,а╪,1.3,1.2,1.6,1.3,0,0,1566.666667,0.4,2.7,2.9,2.5,жпаДаж
86,бДр╤ки,9.7,9.9,5.3,а╪,0.9,1,0.9,1,0,0,1155.555556,0.46,1.9,1.8,2,жпаДаж
90,бДр╤ки,9.7,11.4,6.2,а╪,1.5,1.9,1.7,0.9,0,0,711.1111111,0.46,3,3.2,2.8,жпаДаж
1,бДр╤ки,9.8,8.6,3.9,╩Н,0.8,1.2,2.4,1.6,6.013,9.5,2344.444444,0.55,3,3.2,2.8,жпаДаж
1,бДр╤ки,9.8,6.2,2.31,╩Н,2.4,1.9,2.2,1.2,3.887,0.269,2344.444444,0.63,3.85,4.6,3.1,жпаДаж
1,бДр╤ки,9.8,6.7,3,а╪,1.7,1.5,2,1.1,1.1,3.4,2344.444444,0.55,3.15,3.7,2.6,жпаДаж
1,бДр╤ки,9.8,9.5,1.7,а╪,2.3,1.8,2.8,2.2,9.5,9.6,2344.444444,0.82,4.55,5.1,4,жпаДаж
4,бДр╤ки,9.8,9.4,4.8,а╪,1.19,1.58,1.11,1.52,3.5,4.8,2155.555556,0.49,2.7,2.3,3.1,жпаДаж
5,бДр╤ки,9.8,5.3,0.5,а╪,1.301,1.856,1.638,1.775,2.8,2.4,1377.777778,0.91,3.285,2.939,3.631,жпаДаж
6,бДр╤ки,9.8,7.1,0.3,а╪,1.89,2.17,2.13,1.98,0.5,2.7,1044.444444,0.96,4.085,4.02,4.15,жпаДаж
15,бДр╤ки,9.8,8.4,4.3,а╪,0.501,0.968,2.7,2.9,5.3,3.8,788.8888889,0.49,3.5345,3.201,3.868,жпаДаж
41,бДр╤ки,9.8,6.6,0.9,а╪,1.65,1.37,1.62,1.79,5.6,8,1522.222222,0.86,3.215,3.27,3.16,жпаДаж
42,бДр╤ки,9.8,10.2,2.8,а╪,1.47,1.22,1.48,1.44,9.2,9,2288.888889,0.73,2.805,2.95,2.66,жпаДаж
42,бДр╤ки,9.8,11.1,5.8,а╪,0.83,1.02,2.1,1.36,9.1,7.7,2288.888889,0.48,2.655,2.93,2.38,жпаДаж
44,бДр╤ки,9.8,10.6,6.7,а╪,1.4,1.4,1.1,1,9.3,8.9,1977.777778,0.37,2.45,2.5,2.4,жпаДаж
72,бДр╤ки,9.8,9.2,6.3,а╪,0.7,1,1.3,0.7,0,0,944.4444444,0.32,1.85,2,1.7,жпаДаж
87,бДр╤ки,9.8,7.2,1.3,а╪,3.2,3.1,3.9,0.2,0,0,588.8888889,0.82,5.2,7.1,3.3,жпаДаж
88,бДр╤ки,9.8,9.7,6.8,а╪,1.3,1.3,1.7,1.4,0,0,1122.222222,0.3,2.85,3,2.7,жпаДаж
1,бДр╤ки,9.9,9.6,2.5,╩Н,1.9,1.9,2.1,2.6,1.951,3.47,2344.444444,0.74,4.25,4,4.5,жпаДаж
1,бДр╤ки,9.9,10.7,3.3,╩Н,1.9,1.7,2.4,2.2,7.97,4.411,2344.444444,0.69,4.1,4.3,3.9,жпаДаж
4,бДр╤ки,9.9,11.6,3.4,а╪,1.77,2.48,1.86,0.57,6.3,7.4,2155.555556,0.71,3.34,3.63,3.05,жпаДаж
5,бДр╤ки,9.9,5.8,0.7,а╪,1.727,1.354,1.26,1.959,7.8,1.8,1377.777778,0.88,3.15,2.987,3.313,жпаДаж
6,бДр╤ки,9.9,6.4,0.3,а╪,2.02,2.2,1.64,2.23,5,2.7,1044.444444,0.95,4.045,3.66,4.43,жпаДаж
6,бДр╤ки,9.9,6.3,0.4,а╪,1.84,1.84,2.01,1.59,7.8,2.7,1044.444444,0.94,3.64,3.85,3.43,жпаДаж
8,бДр╤ки,9.9,6.3,0.4,а╪,1.95,1.96,1.02,1.67,7.3,9.5,1344.444444,0.94,3.3,2.97,3.63,жпаДаж
9,бДр╤ки,9.9,4.9,0.3,а╪,1.522,1.92,1.376,2.001,7.7,2.1,600,0.94,3.4095,2.898,3.921,жпаДаж
11,бДр╤ки,9.9,6.4,1.3,а╪,1.891,2.35,1.78,1.601,6.5,8.8,722.2222222,0.8,3.811,3.671,3.951,жпаДаж
35,бДр╤ки,9.9,6.9,0.5,а╪,1.76,1.58,1.52,1.7,2.4,9.6,1733.333333,0.93,3.28,3.28,3.28,жпаДаж
37,бДр╤ки,9.9,5.2,0.7,а╪,1.56,1.54,2.3,1.95,1.5,6,1644.444444,0.87,3.675,3.86,3.49,жпаДаж
40,бДр╤ки,9.9,4.7,0.3,а╪,1.86,2.08,2.18,1.58,3,8.6,511.1111111,0.94,3.85,4.04,3.66,жпаДаж
41,бДр╤ки,9.9,6.5,0.4,а╪,1.97,1.88,1.78,0.86,6.2,9,1522.222222,0.94,3.245,3.75,2.74,жпаДаж
41,бДр╤ки,9.9,6.8,0.7,а╪,1.78,1.64,2.35,1.89,4.4,0.5,1522.222222,0.9,3.83,4.13,3.53,жпаДаж
